hostname,name,interfaces,description,role,app,env,loc,os,review
r-root-dc-00.IT.com,r-root-dc-00,umwl:10.29.0.10,"[G1 P1 conf:Alta] r-root-dc-00.IT.com · Controlador de dominio raíz IT.com. Sirve 53/UDP, 88, 123, 135, 389 TCP+UDP, 445 y RPC dinámico (49668-49678) a nap-agent-03; 37.764 flujos",DomainController,ActiveDirectory,Production,Datacenter,,PENDING
r-root-dc-01.IT.com,r-root-dc-01,umwl:10.29.4.10,"[G1 P1 conf:Alta] r-root-dc-01.IT.com · Controlador de dominio raíz IT.com; mismo perfil (88, 135, 389, 445, RPC); 15.141 flujos desde nap-agent-03",DomainController,ActiveDirectory,Production,Datacenter,,PENDING
r-ar-dc-00.ar.IT.com,r-ar-dc-00,umwl:10.29.0.54,"[G1 P1 conf:Alta] r-ar-dc-00.ar.IT.com · Controlador del dominio hijo ar.IT.com (Kerberos 88, LDAP 389, RPC); lsass.exe de nap-agent-03 como consumidor",DomainController,ActiveDirectory,Production,Datacenter,,PENDING
r-ar-dc-01.ar.IT.com,r-ar-dc-01,umwl:10.29.4.54,[G1 P1 conf:Alta] r-ar-dc-01.ar.IT.com · Controlador del dominio hijo ar.IT.com; mismo perfil,DomainController,ActiveDirectory,Production,Datacenter,,PENDING
10.40.54.10,dns-10-40-54-10,umwl:10.40.54.10,[G1 P1 conf:Alta] Servidor DNS principal: 249.105 flujos 53/UDP desde los cuatro hosts; también responde ICMP. Consume RPC/SMB hacia los DCs (comportamiento de DC o de DNS integrado a AD en otro sitio),DNS,CoreInfra,Production,Datacenter,,PENDING
ntp.customer.com,ntp,umwl:10.29.35.210,[G1 P1 conf:Alta] ntp.customer.com · NTP 123/UDP para nap-agent-00 y 02 (chrony),NTP,CoreInfra,Production,Datacenter,,PENDING
10.29.39.239,ntp-239,umwl:10.29.39.239,[G1 P1 conf:Alta] ntp.customer.com · NTP 123/UDP para nap-agent-01,NTP,CoreInfra,Production,Datacenter,,PENDING
edge-proxy.IT.com,edge-proxy,umwl:10.28.10.89,"[G1 P1 conf:Alta] edge-proxy.IT.com · Proxy web 3128/TCP; 65.215 flujos; usado por apt, SSM agent, Defender, Edge, Java, PowerShell",WebProxy,InternetAccess,Production,Datacenter,,PENDING
10.28.11.69,edge-proxy-69,umwl:10.28.11.69,[G1 P1 conf:Alta] edge-proxy.IT.com · Proxy web 3128/TCP; 74.145 flujos; par del anterior,WebProxy,InternetAccess,Production,Datacenter,,PENDING
s-puppet.IT.com,s-puppet,umwl:10.39.33.195,[G1 P1 conf:Alta] s-puppet.IT.com · Puppet Server: 8140/TCP (agente) y 8080/TCP; consumidor ruby/ruby.exe en los cuatro hosts y en los DCs; 13.456 flujos,ConfigMgmt,Automation,Production,Datacenter,,PENDING
10.29.33.33,configmgmt-10-29-33-33,umwl:10.29.33.33,[G1 P2 conf:Media] Segundo Puppet Server (8080 y 8140); 543 flujos,ConfigMgmt,Automation,Production,Datacenter,,PENDING
reg-soc-hids-lb.IT.com,reg-soc-hids-lb,umwl:10.29.35.233,[G1 P1 conf:Alta] reg-soc-hids-lb.IT.com · Colector HIDS (OSSEC/Wazuh) 1514/UDP; consumidor ossec-agent.exe; 5.879 flujos,HIDS,SecurityTools,Production,Datacenter,,PENDING
