hostname,name,interfaces,description,role,app,env,loc,os,review
10.43.43.21,monitoring-10-43-43-21,umwl:10.43.43.21,[C3 P1 conf:Alta] Servidor Zabbix: consulta 10050/TCP (chequeo pasivo) e ICMP en atun4 y wlsfp1a (≈600.000 flujos) y recibe 10051 (chequeo activo),Monitoring,Observability,Production,DC-OnPrem,,PENDING
10.52.144.143,monitoring-10-52-144-143,umwl:10.52.144.143,"[C3 P1 conf:Alta] Proxy Zabbix en OCI: 10050/ICMP hacia occ9prohsapv02, recibe 10051; también prueba 7776 (chequeo de servicio)",Monitoring,Observability,Production,OCI-Vinhedo,,PENDING
192.168.161.105,dns-192-168-161-105,umwl:192.168.161.105,[C3 P1 conf:Alta] Resolutores DNS corporativos (53/UDP) de atun4 y wlsfp1a; ya cubiertos por la regla en borrador,DNS,CoreInfra,Production,DC-OnPrem,,PENDING
192.168.161.92,dns-192-168-161-92,umwl:192.168.161.92,[C3 P1 conf:Alta] Resolutores DNS corporativos (53/UDP) de atun4 y wlsfp1a; ya cubiertos por la regla en borrador,DNS,CoreInfra,Production,DC-OnPrem,,PENDING
192.168.161.104,dns-192-168-161-104,umwl:192.168.161.104,[C3 P1 conf:Alta] Resolutores DNS corporativos (53/UDP) de atun4 y wlsfp1a; ya cubiertos por la regla en borrador,DNS,CoreInfra,Production,DC-OnPrem,,PENDING
10.81.180.198,ntp-10-81-180-198,umwl:10.81.180.198,[C3 P1 conf:Alta] Servidores NTP internos (123/UDP),NTP,CoreInfra,Production,DC-OnPrem,,PENDING
192.168.86.84,ntp-192-168-86-84,umwl:192.168.86.84,[C3 P1 conf:Alta] Servidores NTP internos (123/UDP),NTP,CoreInfra,Production,DC-OnPrem,,PENDING
10.51.4.12,ntp-10-51-4-12,umwl:10.51.4.12,[C3 P1 conf:Alta] Servidores NTP internos (123/UDP),NTP,CoreInfra,Production,DC-OnPrem,,PENDING
10.0.4.10,loadbalancer-10-0-4-10,umwl:10.0.4.10,[C3 P1 conf:Alta] Front-ends de atun4: únicos consumidores de 8080/TCP (13.554 / 285.363 / 285.371 flujos; el .10 parece nodo de respaldo),LoadBalancer,,Production,DC-OnPrem,,PENDING
10.0.4.11,loadbalancer-10-0-4-11,umwl:10.0.4.11,[C3 P1 conf:Alta] Front-ends de atun4: únicos consumidores de 8080/TCP (13.554 / 285.363 / 285.371 flujos; el .10 parece nodo de respaldo),LoadBalancer,,Production,DC-OnPrem,,PENDING
10.0.4.12,loadbalancer-10-0-4-12,umwl:10.0.4.12,[C3 P1 conf:Alta] Front-ends de atun4: únicos consumidores de 8080/TCP (13.554 / 285.363 / 285.371 flujos; el .10 parece nodo de respaldo),LoadBalancer,,Production,DC-OnPrem,,PENDING
172.27.1.5,loadbalancer-172-27-1-5,umwl:172.27.1.5,"[C3 P1 conf:Alta] Front-ends de wlsfp1a: consumen 7003/7007/7053/7203/7303 (≈2,4 M flujos); .6 y .7 además hacen FTP 21",LoadBalancer,,Production,DC-OnPrem,,PENDING
172.27.1.6,loadbalancer-172-27-1-6,umwl:172.27.1.6,"[C3 P1 conf:Alta] Front-ends de wlsfp1a: consumen 7003/7007/7053/7203/7303 (≈2,4 M flujos); .6 y .7 además hacen FTP 21",LoadBalancer,,Production,DC-OnPrem,,PENDING
172.27.1.7,loadbalancer-172-27-1-7,umwl:172.27.1.7,"[C3 P1 conf:Alta] Front-ends de wlsfp1a: consumen 7003/7007/7053/7203/7303 (≈2,4 M flujos); .6 y .7 además hacen FTP 21",LoadBalancer,,Production,DC-OnPrem,,PENDING
172.27.1.150,loadbalancer-172-27-1-150,umwl:172.27.1.150,"[C3 P1 conf:Alta] Front-ends de wlsfp1a: consumen 7003/7007/7053/7203/7303 (≈2,4 M flujos); .6 y .7 además hacen FTP 21",LoadBalancer,,Production,DC-OnPrem,,PENDING
10.51.4.163,appclient-10-51-4-163,umwl:10.51.4.163,[C3 P2 conf:Media] Consumidores de 7053/TCP en wlsfp1a (≈31.600 flujos): integración o segundo front,AppClient,,Production,DC-OnPrem,,PENDING
10.51.4.164,appclient-10-51-4-164,umwl:10.51.4.164,[C3 P2 conf:Media] Consumidores de 7053/TCP en wlsfp1a (≈31.600 flujos): integración o segundo front,AppClient,,Production,DC-OnPrem,,PENDING
172.28.253.49,appserver-wls-172-28-253-49,umwl:172.28.253.49,"[C3 P1 conf:Alta] Nodo par de WebLogic: wlsfp1a le envía 7205 y 7055 (541.000 flujos, clúster/replicación). Candidato a VEN",AppServer-WLS,,Production,DC-OnPrem,,PENDING
10.57.248.39,loadbalancer-10-57-248-39,umwl:10.57.248.39,"[C3 P1 conf:Alta] Seis nodos front de OCI que consumen 7776/7775 en occ9prohsapv02 (4,85 M flujos); dos subredes espejo 10.57.248.x / 10.57.250.x",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
10.57.248.42,loadbalancer-10-57-248-42,umwl:10.57.248.42,"[C3 P1 conf:Alta] Seis nodos front de OCI que consumen 7776/7775 en occ9prohsapv02 (4,85 M flujos); dos subredes espejo 10.57.248.x / 10.57.250.x",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
10.57.248.54,loadbalancer-10-57-248-54,umwl:10.57.248.54,"[C3 P1 conf:Alta] Seis nodos front de OCI que consumen 7776/7775 en occ9prohsapv02 (4,85 M flujos); dos subredes espejo 10.57.248.x / 10.57.250.x",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
10.57.250.39,loadbalancer-10-57-250-39,umwl:10.57.250.39,"[C3 P1 conf:Alta] Seis nodos front de OCI que consumen 7776/7775 en occ9prohsapv02 (4,85 M flujos); dos subredes espejo 10.57.248.x / 10.57.250.x",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
10.57.250.41,loadbalancer-10-57-250-41,umwl:10.57.250.41,"[C3 P1 conf:Alta] Seis nodos front de OCI que consumen 7776/7775 en occ9prohsapv02 (4,85 M flujos); dos subredes espejo 10.57.248.x / 10.57.250.x",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
10.57.250.53,loadbalancer-10-57-250-53,umwl:10.57.250.53,"[C3 P1 conf:Alta] Seis nodos front de OCI que consumen 7776/7775 en occ9prohsapv02 (4,85 M flujos); dos subredes espejo 10.57.248.x / 10.57.250.x",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
ocivipecom80.corp.com,ocivipecom80,umwl:10.57.248.156,"[C3 P1 conf:Alta] ocivipecom80.corp.com · VIP HTTP 80 consumido por occ9 (3,6 M flujos)",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
10.57.250.156,ocivipecom80-156,umwl:10.57.250.156,"[C3 P1 conf:Alta] ocivipecom80.corp.com · VIP HTTP 80 consumido por occ9 (3,6 M flujos)",LoadBalancer,,Production,OCI-Vinhedo,,PENDING
ocivipecomohs7777.corp.com,ocivipecomohs7777,umwl:10.57.248.154,[C3 P1 conf:Alta] ocivipecomohs7777.corp.com · VIP Oracle HTTP Server 7777 consumido por occ9 (877.000 flujos),WebTier-OHS,,Production,OCI-Vinhedo,,PENDING
10.57.250.154,ocivipecomohs7777-154,umwl:10.57.250.154,[C3 P1 conf:Alta] ocivipecomohs7777.corp.com · VIP Oracle HTTP Server 7777 consumido por occ9 (877.000 flujos),WebTier-OHS,,Production,OCI-Vinhedo,,PENDING
10.12.32.109,appserver-wls-10-12-32-109,umwl:10.12.32.109,[C3 P1 conf:Alta] Servidores gestionados WebLogic 7002-7008 consumidos por occ9 como usuario oracle (950.000 flujos),AppServer-WLS,,Production,DC-OnPrem,,PENDING
172.17.251.35,database-oracle-172-17-251-35,umwl:172.17.251.35,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a,Database-Oracle,,Production,DC-OnPrem,,PENDING
172.17.251.36,database-oracle-172-17-251-36,umwl:172.17.251.36,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a,Database-Oracle,,Production,DC-OnPrem,,PENDING
172.17.251.37,database-oracle-172-17-251-37,umwl:172.17.251.37,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a,Database-Oracle,,Production,DC-OnPrem,,PENDING
172.17.251.38,database-oracle-172-17-251-38,umwl:172.17.251.38,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a,Database-Oracle,,Production,DC-OnPrem,,PENDING
172.17.251.39,database-oracle-172-17-251-39,umwl:172.17.251.39,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a,Database-Oracle,,Production,DC-OnPrem,,PENDING
10.52.130.106,database-oracle-10-52-130-106,umwl:10.52.130.106,[C3 P1 conf:Alta] Base de datos Oracle 1521 en OCI consumida por wlsfp1a (44.000 flujos),Database-Oracle,,Production,OCI-Vinhedo,,PENDING
