hostname,name,interfaces,description,role,app,env,loc,review
,Zabbix Server 10.43.43.21,eth0:10.43.43.21,[C3 P1 conf:Alta] Servidor Zabbix: consulta 10050/TCP (chequeo pasivo) e ICMP en atun4 y wlsfp1a (≈200.000 flujos en 7 días) y recibe 10051 (chequeo activo) | Visto en: v1+v2,R_Monitoring,A_Observability,E_Prod,L_CDLV,PENDING
,Zabbix Proxy OCI 10.52.144.143,eth0:10.52.144.143,"[C3 P1 conf:Alta] Proxy Zabbix en OCI: 10050/ICMP hacia occ9prohsapv02 (115.000 flujos), recibe 10051; también prueba 7776 (chequeo de servicio) | Visto en: v1+v2",R_Monitoring,A_Observability,E_Prod,L_OCI,PENDING
,DNS Corporativo 192.168.161.105,eth0:192.168.161.105,[C3 P1 conf:Alta] Resolutores DNS corporativos (53/UDP) de atun4 y wlsfp1a; cubiertos por la regla vigente | Visto en: v1+v2,R_DNS,A_CoreInfra,E_Prod,L_CDLV,PENDING
,DNS Corporativo 192.168.161.92,eth0:192.168.161.92,[C3 P1 conf:Alta] Resolutores DNS corporativos (53/UDP) de atun4 y wlsfp1a; cubiertos por la regla vigente | Visto en: v1+v2,R_DNS,A_CoreInfra,E_Prod,L_CDLV,PENDING
,DNS Corporativo 192.168.161.104,eth0:192.168.161.104,[C3 P1 conf:Alta] Resolutores DNS corporativos (53/UDP) de atun4 y wlsfp1a; cubiertos por la regla vigente | Visto en: v1+v2,R_DNS,A_CoreInfra,E_Prod,L_CDLV,PENDING
,NTP Corporativo 10.81.180.198,eth0:10.81.180.198,"[C3 P1 conf:Alta] Servidores NTP internos (123/UDP); .198 y .84 desde atun4, .12 desde wlsfp1a | Visto en: v1+v2",R_NTP,A_CoreInfra,E_Prod,L_CDLV,PENDING
,NTP Corporativo 192.168.86.84,eth0:192.168.86.84,"[C3 P1 conf:Alta] Servidores NTP internos (123/UDP); .198 y .84 desde atun4, .12 desde wlsfp1a | Visto en: v1+v2",R_NTP,A_CoreInfra,E_Prod,L_CDLV,PENDING
,NTP Corporativo 10.51.4.12,eth0:10.51.4.12,"[C3 P1 conf:Alta] Servidores NTP internos (123/UDP); .198 y .84 desde atun4, .12 desde wlsfp1a | Visto en: v1+v2",R_NTP,A_CoreInfra,E_Prod,L_CDLV,PENDING
,Front-End Atun4 10.0.4.10,eth0:10.0.4.10,"[C3 P1 conf:Alta] Servidores web/app front de atun4, no balanceadores: únicos consumidores de 8080/TCP (.11 y .12 con volúmenes idénticos, .10 nodo de respaldo) y en la misma /24 que atun4. Están detrás de un VIP que no aparece en el export; el VIP, cuando se identifique, es el R_LoadBalancer. Ya creados en el PCE con A_Atun4App: esta fila corrige el rol | Visto en: v1+v2",R_WebServer,A_Atun4App,E_Prod,L_CDLV,PENDING
,Front-End Atun4 10.0.4.11,eth0:10.0.4.11,"[C3 P1 conf:Alta] Servidores web/app front de atun4, no balanceadores: únicos consumidores de 8080/TCP (.11 y .12 con volúmenes idénticos, .10 nodo de respaldo) y en la misma /24 que atun4. Están detrás de un VIP que no aparece en el export; el VIP, cuando se identifique, es el R_LoadBalancer. Ya creados en el PCE con A_Atun4App: esta fila corrige el rol | Visto en: v1+v2",R_WebServer,A_Atun4App,E_Prod,L_CDLV,PENDING
,Front-End Atun4 10.0.4.12,eth0:10.0.4.12,"[C3 P1 conf:Alta] Servidores web/app front de atun4, no balanceadores: únicos consumidores de 8080/TCP (.11 y .12 con volúmenes idénticos, .10 nodo de respaldo) y en la misma /24 que atun4. Están detrás de un VIP que no aparece en el export; el VIP, cuando se identifique, es el R_LoadBalancer. Ya creados en el PCE con A_Atun4App: esta fila corrige el rol | Visto en: v1+v2",R_WebServer,A_Atun4App,E_Prod,L_CDLV,PENDING
,Front-End WLS 172.27.1.5,eth0:172.27.1.5,"[C3 P1 conf:Alta] Servidores web/app front de wlsfp1a, no balanceadores: consumen 7003/7007/7053/7203/7303 (1,5 M flujos) y .6/.7 además suben archivos por FTP 21 (243.000 sesiones), algo que un balanceador no hace; comparten la /24 con appswls (172.27.1.13). El VIP que los publica no aparece en el export | Visto en: v1+v2",R_WebServer,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Front-End WLS 172.27.1.6,eth0:172.27.1.6,"[C3 P1 conf:Alta] Servidores web/app front de wlsfp1a, no balanceadores: consumen 7003/7007/7053/7203/7303 (1,5 M flujos) y .6/.7 además suben archivos por FTP 21 (243.000 sesiones), algo que un balanceador no hace; comparten la /24 con appswls (172.27.1.13). El VIP que los publica no aparece en el export | Visto en: v1+v2",R_WebServer,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Front-End WLS 172.27.1.7,eth0:172.27.1.7,"[C3 P1 conf:Alta] Servidores web/app front de wlsfp1a, no balanceadores: consumen 7003/7007/7053/7203/7303 (1,5 M flujos) y .6/.7 además suben archivos por FTP 21 (243.000 sesiones), algo que un balanceador no hace; comparten la /24 con appswls (172.27.1.13). El VIP que los publica no aparece en el export | Visto en: v1+v2",R_WebServer,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
