name,description,include,exclude,fqdns
ipl-dc-onprem-app-atun4,Subred de atun4 y sus tres front-ends (más el gateway 10.0.4.1 que emite IGMP),10.0.4.0/24,,
ipl-dc-onprem-app-wls,"Subredes del clúster WebLogic (wlsfp1a, nodo par .49, soafprac1 .80) y de sus front-ends",172.28.253.0/24;172.27.1.0/24,,
ipl-oci-app-tier,"Front-ends y VIPs de la aplicación en OCI (dos subredes espejo, probablemente dos dominios de disponibilidad) y 10.57.240.120",10.57.248.0/24;10.57.250.0/24;10.57.240.0/24,,
ipl-oci-mgmt,"Subredes de OCI con Splunk, OEM, base de datos, proxy Zabbix y el propio occ9",10.52.129.0/24;10.52.130.0/24;10.52.144.0/24,,
ipl-oracle-db,"Todas las bases Oracle consumidas (1521/1525/1526/1627). Permite una sola regla ""WLS → Oracle"" mientras se etiquetan las principales",172.17.251.35-172.17.251.39;10.52.130.106;10.52.130.107;192.168.185.68;192.168.186.114;192.168.186.39;192.168.86.103;172.28.253.80;200.7.29.179;200.7.29.180;200.7.29.144;200.7.29.147;10.43.32.142,,
ipl-dns-corp,Resolutores corporativos,192.168.161.92;192.168.161.104;192.168.161.105,,
ipl-ntp-corp,NTP internos; excluye deliberadamente al público 128.223.1.82 (S-06),10.81.180.198;192.168.86.84;10.51.4.12,,
ipl-monitoring,"Zabbix, OEM y Splunk",10.43.43.21;10.52.144.143;10.52.129.122;10.52.129.231;10.52.129.88,,
ipl-backup,NetBackup,10.51.1.183;10.51.1.184,,
ipl-admin-access,Origen SSH administrativo hacia los tres hosts,10.51.27.16,,
ipl-scanners,"Escáneres de vulnerabilidades (S-01). Modelarlos como lista permite escribir una regla explícita y acotada en vez de permitir ""todo"" hacia los hosts",10.43.33.178;10.51.25.249,,
ipl-oci-metadata,"Resolver de la VCN, metadata y agentes de OCI (8,2 M flujos)",169.254.169.254/32,,
ipl-oci-services,Servicios de plataforma OCI; cargar los rangos publicados por Oracle para la región en lugar de las IPs vistas,,,*.sa-vinhedo-1.oraclecloud.com;*.sa-vinhedo-1.oci.oraclecloud.com;dp.workloadprotection
ipl-trendmicro-saas,Consola SaaS de Deep Security y endpoints de Cloud One; usar la lista publicada por el fabricante,18.97.19.0;18.97.19.11;18.97.19.27;34.205.5.5-34.205.5.7,,dsmim.deepsecurity.trendmicro.com;agents-003.workload.us-1.…trendmicro.com
