hostname,name,interfaces,description,role,app,env,loc,review
,Zabbix Server 10.10.4.21,eth0:10.10.4.21,[G1 P1 conf:Alta] Servidor Zabbix: consulta 10050/TCP (chequeo pasivo) e ICMP en ord-app-01 y bil-app-01 (≈180.000 flujos en 7 días) y recibe 10051 (chequeo activo). Ya existe en el PCE como workload no gestionado: esta fila actualiza etiquetas | Visto en: v1+v2,Monitoring,Monitoring,Production,DC1,UPDATED
,Zabbix Proxy Cloud 10.30.4.21,eth0:10.30.4.21,"[G1 P1 conf:Alta] Proxy Zabbix en la nube: 10050/ICMP hacia bil-app-01 (95.000 flujos), recibe 10051; también prueba 7776 (chequeo de servicio) | Visto en: v1+v2",Monitoring,Monitoring,Production,Cloud,UNCHANGED
,DNS Corporativo 10.10.0.53,eth0:10.10.0.53,[G1 P1 conf:Alta] Resolutor corporativo: 53/UDP y 53/TCP desde los tres VEN (≈40.000 consultas en 7 días). Existe en el PCE como 'DNS 1' (dos IPs en una sola interfaz): esta fila lo separa en un workload por IP | Visto en: v1+v2,DNS,Shared Services,Production,DC1,UPDATED
,DNS Corporativo 10.10.0.54,eth0:10.10.0.54,[G1 P1 conf:Alta] Resolutor corporativo: 53/UDP y 53/TCP desde los tres VEN (≈40.000 consultas en 7 días). Existe en el PCE como 'DNS 1' (dos IPs en una sola interfaz): esta fila lo separa en un workload por IP | Visto en: v1+v2,DNS,Shared Services,Production,DC1,UPDATED
,NTP Corporativo 10.10.0.123,eth0:10.10.0.123,[G1 P1 conf:Alta] 123/UDP desde ord-app-01 y bil-app-01 cada 64 s (proceso chronyd) | Visto en: v1+v2,NTP,Shared Services,Production,DC1,UNCHANGED
,SMTP Relay 10.10.0.25,eth0:10.10.0.25,"[G1 P1 conf:Media] 25/TCP desde ord-app-01 (proceso java, ≈1.200 sesiones): correo de notificaciones de la aplicación | Visto en: v1+v2",MailRelay,Shared Services,Production,DC1,UNCHANGED
,NetBackup 10.10.5.10,eth0:10.10.5.10,[G1 P1 conf:Alta] 1556/TCP y 13724/TCP hacia los VEN (proceso bpcd) en ventana nocturna 01:00–03:00; el VEN abre 13782 de vuelta | Visto en: v1+v2,Backup,Shared Services,Production,DC1,UNCHANGED
,NetBackup 10.10.5.11,eth0:10.10.5.11,[G1 P1 conf:Alta] 1556/TCP y 13724/TCP hacia los VEN (proceso bpcd) en ventana nocturna 01:00–03:00; el VEN abre 13782 de vuelta | Visto en: v1+v2,Backup,Shared Services,Production,DC1,UNCHANGED
,Splunk Indexer 10.10.4.31,eth0:10.10.4.31,"[G1 P1 conf:Alta] Recibe 9997/TCP desde los tres VEN (splunkd, ≈3 GB en 7 días) | Visto en: v1+v2",LogCollector,Monitoring,Production,DC1,UNCHANGED
,Bastion SSH 10.10.7.10,eth0:10.10.7.10,"[G1 P1 conf:Alta] Único origen de 22/TCP hacia los VEN (usuarios admin-01, admin-02; 340 sesiones) | Visto en: v1+v2",Bastion,Admin Access,Production,DC1,UNCHANGED
,Scanner Vulnerabilidades 10.10.6.40,eth0:10.10.6.40,[G1 P1 conf:Alta] Barrido de 1–65535/TCP contra los tres VEN el 2026-08-20 03:10–03:55 (hallazgo S-01); modelar como lista de IP con regla explícita | Visto en: v1+v2,Scanner,Security Tools,Production,DC1,UNCHANGED
,EDR Manager 10.10.6.41,eth0:10.10.6.41,[G1 P1 conf:Alta] Recibe 443/TCP y 4118/TCP desde el agente de los VEN cada 10 min (proceso ds_agent) | Visto en: v1+v2,AgentManager,Security Tools,Production,DC1,UNCHANGED
,Front-End Ordering 10.20.1.11,eth0:10.20.1.11,"[G1 P1 conf:Alta] Servidores web de Ordering: únicos consumidores de 8080/TCP en ord-app-01, volúmenes idénticos (≈600.000 flujos cada uno), misma /24. No son balanceadores: el VIP que los publica es 10.20.1.10 | Visto en: v1+v2",Web,Ordering,Production,DC1,UNCHANGED
,Front-End Ordering 10.20.1.12,eth0:10.20.1.12,"[G1 P1 conf:Alta] Servidores web de Ordering: únicos consumidores de 8080/TCP en ord-app-01, volúmenes idénticos (≈600.000 flujos cada uno), misma /24. No son balanceadores: el VIP que los publica es 10.20.1.10 | Visto en: v1+v2",Web,Ordering,Production,DC1,UNCHANGED
,VIP Ordering 10.20.1.10,eth0:10.20.1.10,"[G1 P1 conf:Alta] VIP del balanceador que publica los front-ends de Ordering: recibe 443/TCP desde la VLAN de usuarios (≈2,1 M flujos) y reparte 80/TCP a 10.20.1.11/.12 | Visto en: v1+v2",LoadBalancer,Ordering,Production,DC1,UNCHANGED
,Base de Datos Ordering 10.20.3.30,eth0:10.20.3.30,"[G1 P1 conf:Alta] 1521/TCP desde ord-app-01 (proceso java, usuario ordering; 1,4 M flujos, 22 GB). Sin VEN: candidata a la siguiente ola de agentes | Visto en: v1+v2",Database,Ordering,Production,DC1,UNCHANGED
,Cola de Mensajes Ordering 10.20.3.40,eth0:10.20.3.40,[G1 P1 conf:Media] 5672/TCP (AMQP) desde ord-app-01 y bil-app-01: integración entre las dos aplicaciones | Visto en: v1+v2,Messaging,Ordering,Production,DC1,UNCHANGED
