name,description,include,exclude,fqdns
IPL_CDLV_App_Atun4,[C3] Subred de atun4 y sus tres front-ends (más el gateway 10.0.4.1) — uso: Ringfence atun4,10.0.4.0/24,,
IPL_CDLV_App_WLS,"[C3] Subredes del clúster WebLogic (wlsfp1a, nodo par .49, soafprac1 .80) y de sus front-ends — uso: Ringfence WLS",172.28.253.0/24;172.27.1.0/24,,
IPL_OCI_App_Ecom,[C3] Front-ends y VIPs de la aplicación en OCI (dos subredes espejo) y 10.57.240.120 — uso: Ringfence OCI,10.57.248.0/24;10.57.250.0/24;10.57.240.0/24,,
IPL_OCI_Mgmt,"[C3] Subredes de OCI con Splunk, OEM, base de datos, proxy Zabbix y el propio occ9 — uso: Gestión OCI",10.52.129.0/24;10.52.130.0/24;10.52.144.0/24,,
IPL_OCI_App_185,[C3] Subred de los seis hosts vistos en los registros de flujo de OCI (siguiente ola) — uso: Siguiente ola,10.52.185.0/24,,
IPL_Oracle_DB,[C3] Todas las bases Oracle consumidas. La regla vigente de 1521 ya las cubre; la lista sirve de respaldo mientras se etiquetan — uso: Bases de datos,172.17.251.35-172.17.251.39;10.52.130.106;10.52.130.107;192.168.185.68;192.168.186.114;192.168.186.39;192.168.86.103;172.28.253.80;200.7.29.179;200.7.29.180;200.7.29.144;200.7.29.147;10.43.32.142,,
IPL_DNS_Corp,[C3] Resolutores corporativos — uso: DNS,192.168.161.92;192.168.161.104;192.168.161.105,,
IPL_NTP_Corp,[C3] NTP internos; excluye deliberadamente al público 128.223.1.82 (S-06) — uso: Tiempo,10.81.180.198;192.168.86.84;10.51.4.12,,
IPL_Monitoring,"[C3] Zabbix (tres instancias), OEM y Splunk — uso: Monitoreo y logs",10.43.43.21;10.52.144.143;10.12.28.79;10.52.129.122;10.52.129.231;10.52.129.88,,
IPL_Backup,[C3] NetBackup — uso: Respaldo,10.51.1.183;10.51.1.184,,
IPL_Admin_Access,[C3] Origen SSH administrativo (v1) — uso: Administración,10.51.27.16,,
IPL_Scanners,[C3] Escáneres de vulnerabilidades (S-01) — uso: Escaneo autorizado,10.43.33.178;10.51.25.249,,
IPL_OCI_Metadata,"[C3] Resolver de la VCN, metadata y agentes de OCI (5,3 M flujos) — uso: Plataforma OCI",169.254.169.254/32,,
IPL_OCI_Services,[C3] Servicios de plataforma OCI; cargar los rangos publicados por Oracle para la región — uso: Plataforma OCI,,,*.sa-vinhedo-1.oraclecloud.com;*.sa-vinhedo-1.oci.oraclecloud.com
IPL_TrendMicro_SaaS,[C3] Consola SaaS de Deep Security y endpoints de Cloud One; usar la lista publicada por el fabricante — uso: Protección de workloads,18.97.19.0;18.97.19.11;18.97.19.27;34.205.5.5-34.205.5.7,,
